rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
108,Djibouti,DJI,Africa,39.842596122328175,5,0.013715332756593306,97.2066414047698,4.664218644663541,62.035790569399666,35.292614660051306
109,West Bank and Gaza,PSE,Middle East,39.15249243881821,5,0.09623335478470176,74.57912925680859,5.7790088593228575,85.605216287665,29.702874435509898
110,"Egypt, Arab Rep.",EGY,Africa,39.01631860123378,5,1.6589841527232494,79.49911411699335,6.376030705819296,72.0039405249021,35.543523505730874
111,Samoa,WSM,Oceania,38.93865258756422,4,0.0035550979167270637,73.4463518114229,6.494863597166139,,75.80983984375112
112,Botswana,BWA,Africa,38.62595301340076,4,0.04275186752894405,75.95007141623249,6.284506771787446,,72.22648199805414
113,Ecuador,ECU,Latin America,38.06975304203506,5,0.41930753420255207,71.9374802012562,7.808567895539054,70.58455034498681,39.59885923419072
114,Cuba,CUB,Latin America,38.0242579397558,5,0.28756915467009314,68.36938818595063,8.39015009384257,68.8876004823292,44.18658178198652
115,Sao Tome and Principe,STP,Africa,37.81702781497073,5,0.0027093733741135263,79.50324239325167,3.17520440472444,55.51037204562397,50.893610857879445
116,Senegal,SEN,Africa,37.76898520906305,5,0.1086338721907715,80.3597907518941,1.6402563573530502,56.03402958456694,50.7022154793104
117,Cambodia,KHM,South & Southeast Asia,37.59309499800902,5,0.13461846197125177,77.76340570015154,2.3236488922753904,66.52453847956605,41.21926345608087
118,Algeria,DZA,Africa,37.37879030187274,5,0.533957906911246,72.85623034144123,3.4495620244717617,74.35851729105131,35.695683945488156
119,Bolivia,BOL,Latin America,37.2779125298563,5,0.1906752539402626,74.33880657379123,4.09649798479813,75.5465230892781,32.21705974747379
120,El Salvador,SLV,Latin America,36.712830030269025,5,0.1463851556689593,69.32813738197801,6.924702306768918,59.731739346736155,47.43318596019307
121,Guatemala,GTM,Latin America,36.43619092235626,5,0.4826730676271389,79.41610374244236,7.679912032300573,53.383203391154986,41.21906237825624
122,Lebanon,LBN,Middle East,36.14454002121025,5,0.14404079968399772,60.30173220525539,13.505283170098556,80.29241500887825,26.47922892213504
123,Ukraine,UKR,Europe,35.93708925790052,5,0.5858141878619701,54.538128734996526,3.634951135505478,80.15742816786666,40.769124063271946
124,Honduras,HND,Latin America,35.21703912614877,5,0.15760314121934152,80.78674411514062,4.152274929761109,54.828784686398855,36.15978875822393
125,Northern Mariana Islands,MNP,Oceania,35.08004683346772,3,0.00286089823440703,76.93752813192505,28.299751470243706,,
126,Gabon,GAB,Africa,35.019144568815946,5,0.03450270729060905,67.99786029270292,4.191582457475531,65.7407206117116,37.131056774899065
127,"Iran, Islamic Rep.",IRN,Middle East,34.89678076341778,5,1.0556231117487764,65.60671523434397,4.81215878474014,82.45190028861684,20.557506397639187
128,Kosovo,XKX,Europe,34.71248220555712,4,0.04576044054727908,79.17796218125287,8.68678436407697,,50.93942183635137
129,"Gambia, The",GMB,Africa,34.6677917569741,5,0.010746192360394464,79.0361813162717,0.8503271555290067,44.76680803921868,48.67489608149068
130,Cote d'Ivoire,CIV,Africa,34.09794651238369,5,0.2998563307480821,89.99344492747193,2.6432227134060873,36.06741293625391,41.485795654038434
131,Nicaragua,NIC,Latin America,33.82263860402473,5,0.072983028000065,76.86151579219197,3.0601424444591263,57.23388700680642,31.88466474866609
132,Nepal,NPL,South & Southeast Asia,33.776152242543446,5,0.18679147469293841,80.64970997716945,1.6516155485472706,41.619582215831024,44.77306199647656
133,Eswatini,SWZ,Africa,33.68382572434912,5,0.01433653072660537,68.5440290684003,4.319976208011166,58.345732574956486,37.19505423965104
134,Tajikistan,TJK,Europe,33.58598896922439,5,0.057246252015827524,80.43290587541043,1.658069025751484,50.89343020215632,34.888293490787866
135,Equatorial Guinea,GNQ,Africa,33.20425172376376,5,0.034449724897570325,70.58136451617364,6.073309998140291,60.70084768256978,28.631286697037535
136,Iraq,IRQ,Middle East,32.968901228736485,5,0.5829842317724363,68.89895158744636,4.416384103823172,80.40336985301084,10.5428163676296
137,Sri Lanka,LKA,South & Southeast Asia,32.764307979073244,5,0.316555754868712,67.37313870884279,5.093181462742424,47.42948502714956,43.609178941762735
138,Lesotho,LSO,Africa,32.50919598267873,5,0.009449506112080251,70.33686858845594,1.3634828914000263,45.044314311179576,45.79186461624605
139,Rwanda,RWA,Africa,32.33071083871717,5,0.04981917439182502,78.62373812103185,0.7648064774352,23.305004417689005,58.91018600303794
140,Angola,AGO,Africa,31.895454655589653,5,0.33071280961090543,86.50488385520457,5.300042739861958,33.08667421722222,34.2549596560486
141,Bangladesh,BGD,South & Southeast Asia,31.7671630187461,5,1.5917396712586875,84.49415632319486,2.205185870028474,40.21476567070349,30.32996755854498
142,Solomon Islands,SLB,Oceania,31.49010907456759,5,0.005167574920487889,76.75004467276631,2.418614153512107,23.161297356325118,55.115421615313906
143,Benin,BEN,Africa,31.140207569511027,5,0.06233138092277728,79.68706194493537,1.3169930439122366,27.170447086919943,47.46420439086483
144,Timor-Leste,TLS,South & Southeast Asia,30.97026756175937,4,0.006741652463446027,75.35437642708106,1.3834959258428854,,47.13645624165009
145,Mauritania,MRT,Africa,30.91046742529191,5,0.029832491880181073,76.1265744219624,1.6684056318810505,40.70336646478299,36.02415811595293
146,Togo,TGO,Africa,30.750926684340662,5,0.03774514939691421,81.60038220012052,1.1925027935641808,32.74658530030337,38.17741797831835
147,Kenya,KEN,Africa,29.916644670871552,5,0.43826818986104105,80.3740044400602,2.3273763499609,26.8218434163357,39.621730958139935
