DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP045,XDC,V,N,T0117,2023,7582,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP044,XDC,V,N,T0117,2023,798,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP082,XDC,V,N,T0117,2023,511,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0117,2023,1882,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP091,XDC,V,N,T0117,2021,513.75,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP02,XDC,V,N,T0117,2021,5938.978,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0117,2021,1067.938,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP122,XDC,V,N,T0117,2021,101.894,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP123,XDC,V,N,T0117,2021,928.659,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP07,XDC,V,N,T0117,2021,9736.127,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP071,XDC,V,N,T0117,2021,3706.171,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP055,XDC,V,N,T0117,2021,292.243,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP105,XDC,V,N,T0117,2021,75.416,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP045,XDC,V,N,T0117,2021,4271.709,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP102,XDC,V,N,T0117,2021,186.374,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP073,XDC,V,N,T0117,2021,1481.608,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP126,XDC,V,N,T0117,2021,2830.926,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP01,XDC,V,N,T0117,2021,10082.59,,F,1,A,6,EUR
