iso3,year,regulatory_quality_score
DOM,2020,53.3266303
DOM,2019,53.2577644
DOM,2018,52.5809102
DOM,2017,53.1728069
DOM,2016,53.8370029
DOM,2015,53.4453875
DOM,2014,52.511956
DOM,2013,52.1150619
ECU,2023,45.4081438
ECU,2022,47.3185439
ECU,2021,46.1076615
ECU,2020,43.2556587
ECU,2019,43.3247833
ECU,2018,41.8618752
ECU,2017,40.0809175
ECU,2016,41.1927585
ECU,2015,39.619769
ECU,2014,42.8702525
ECU,2013,41.7770249
EGY,2023,45.8231309
EGY,2022,44.3195704
EGY,2021,45.8709072
EGY,2020,44.8386204
EGY,2019,43.7779482
EGY,2018,43.1497473
EGY,2017,43.692598
EGY,2016,42.7646518
EGY,2015,43.2491735
EGY,2014,43.1519585
EGY,2013,43.2135348
SLV,2023,49.8317655
SLV,2022,48.7776873
SLV,2021,50.2997981
SLV,2020,53.6791988
SLV,2019,53.9808099
SLV,2018,54.4818521
SLV,2017,53.864114
SLV,2016,54.6737304
SLV,2015,56.5082463
SLV,2014,57.8661104
SLV,2013,58.5649562
GNQ,2023,34.6874323
GNQ,2022,34.6850902
GNQ,2021,31.2543883
GNQ,2020,31.2626399
GNQ,2019,32.0935604
GNQ,2018,31.2711044
GNQ,2017,32.8248985
GNQ,2016,32.8101033
GNQ,2015,31.0556211
GNQ,2014,30.5892539
GNQ,2013,29.0746029
ERI,2023,22.8726447
ERI,2022,23.4856183
ERI,2021,23.4965669
ERI,2020,23.9974561
ERI,2019,23.8772543
ERI,2018,24.6876056
ERI,2017,24.7467484
ERI,2016,24.512494
ERI,2015,25.1444564
ERI,2014,24.81252
ERI,2013,23.9956913
EST,2023,77.7627432
EST,2022,79.1667514
EST,2021,79.4591062
EST,2020,78.393671
EST,2019,79.2005779
EST,2018,77.4345494
EST,2017,78.8227783
EST,2016,80.2045818
EST,2015,79.6169213
EST,2014,78.8200041
EST,2013,77.9687117
SWZ,2023,45.0553103
SWZ,2022,45.0533389
SWZ,2021,46.6027011
SWZ,2020,46.5960835
SWZ,2019,46.6148767
SWZ,2018,46.9602724
SWZ,2017,48.7626493
SWZ,2016,48.2858855
SWZ,2015,48.7753689
SWZ,2014,48.8603248
SWZ,2013,50.2323343
ETH,2023,41.6562884
ETH,2022,42.5363368
ETH,2021,42.7432106
ETH,2020,41.9953724
ETH,2019,41.8028238
ETH,2018,41.514773
ETH,2017,40.6914544
ETH,2016,39.7007616
ETH,2015,40.6230821
ETH,2014,40.599395
ETH,2013,38.0153866
FJI,2023,53.2894633
FJI,2022,53.285888
FJI,2021,53.7614152
FJI,2020,52.4560226
FJI,2019,57.2713401
FJI,2018,51.7019547
FJI,2017,51.6919083
FJI,2016,51.6674768
FJI,2015,51.0792864
FJI,2014,50.9805337
FJI,2013,43.4745313
FIN,2023,84.3065138
FIN,2022,84.9743909
FIN,2021,86.5791866
FIN,2020,85.9602735
FIN,2019,86.3071107
FIN,2018,84.0796451
FIN,2017,83.7625922
FIN,2016,83.4832283
FIN,2015,84.3348409
FIN,2014,84.4959002
FIN,2013,85.488167
FRA,2023,74.3046227
FRA,2022,74.8750592
